"director","type","title_produced"
"Kim A. Snyder","Movie","2"
"Nicolas Pesce","Movie","2"
"Daniel Alfredson","Movie","2"
"Sarah Adina Smith","Movie","2"
"Alex Timbers","Movie","2"
"Sara Colangelo","Movie","2"
"Tosin Igho","Movie","2"
"Sean Penn","Movie","2"
"Sriram Raghavan","Movie","2"
"Gillian Robespierre","Movie","2"
"Shinji Aramaki","Movie","2"
"Manish Jha","Movie","2"
"Shashanka Ghosh","Movie","2"
"Heber Cannon","Movie","2"
"T.J. Martin","Movie","2"
"Alison Klayman","Movie","2"
"Ashok Nanda","Movie","2"
"Paco Plaza","Movie","2"
"Sachin","Movie","2"
"Brett Ratner","Movie","2"
"Osgood Perkins","Movie","2"
"Olivier Marchal","Movie","2"
"Justin Kelly","Movie","2"
"Raditya Dika","Movie","2"
"Malcolm D. Lee","Movie","2"
"Dharmesh Darshan","Movie","2"
"Jung-ah Im","TV Show","2"
"Saket Chaudhary","Movie","2"
"Ramsey Nouah","Movie","2"
"Ruel S. Bayani","Movie","2"
"Bille Woodruff","Movie","2"
"Sean Cisterna","Movie","2"
"Alistair Legrand","Movie","2"
"Tom Donahue","Movie","2"
"Michael Drumm","Movie","2"
"Paul Verhoeven","Movie","2"
"Tim Story","Movie","2"
"Brad Bird","Movie","2"
"Jeffrey Walker","Movie","2"
"Alejandro Montiel","Movie","2"
"Kevin Munroe","Movie","2"
"J.C. Chandor","Movie","2"
"Larry Latham","Movie","2"
"Dimitri Logothetis","Movie","2"
"Jon Lucas","Movie","2"
"Hajime Kamegaki","Movie","2"
"Wes Craven","Movie","2"
"Demetri Martin","Movie","2"
"Scott Hicks","Movie","2"
"Shashank Khaitan","Movie","2"
"Mikhil Musale","Movie","2"
"Satish Kaushik","Movie","2"
"Sumit Das","Movie","2"
"Lee Hirsch","Movie","2"
"Scott L. Montoya","Movie","2"
"Smeep Kang","Movie","2"
"Harold Cronk","Movie","2"
"Peter Berg","Movie","2"
"Sanjay Jadhav","Movie","2"
"Esteban Vidal","Movie","2"
"Daniel Mann","Movie","2"
"Femi Oyeniran","Movie","2"
"Charlie McDowell","Movie","2"
"Julián Hernández","Movie","2"
"Stanisław Różewicz","Movie","2"
"Philipp Stölzl","Movie","2"
"Gianfranco Rosi","Movie","2"
"Mark Steven Johnson","Movie","2"
"Àlex Pastor","Movie","2"
"Maryo J. De los Reyes","Movie","2"
"Stephen Chow","Movie","2"
"Christopher Guest","Movie","2"
"David M. Rosenthal","Movie","2"
"Ulises Valencia","Movie","2"
"Sidheswar Shukla","Movie","2"
"Lynn Novick","TV Show","2"
"Jerrold Tarog","Movie","2"
"Rudy Soedjarwo","Movie","2"
"Ted Emery","Movie","2"
"Angelina Jolie","Movie","2"
"Matthew Vaughn","Movie","2"
"Shirley Frimpong-Manso","Movie","2"
"Shakti Samanta","Movie","2"
"Paul Solet","Movie","2"
"Lars von Trier","Movie","2"
"Chad Van De Keere","Movie","2"
"Sam Raimi","Movie","2"
"Bill D'Elia","Movie","2"
"James Ponsoldt","Movie","2"
"Mar Targarona","Movie","2"
"Luv Ranjan","Movie","2"
"Álex de la Iglesia","Movie","2"
"Oz Rodriguez","Movie","2"
"Ivan Ayr","Movie","2"
"Parambrata Chatterjee","Movie","2"
"Peter Orton","Movie","2"
